text,language,source
mantrābhāve tu sarvatra % smṛtā vyāhṛtayaḥ kila // Ang_1.7 //,Sanskrit,GRETIL
anvaye liṅgato 'rthādvā $ virodhābhāvataḥ pare &,Sanskrit,GRETIL
tattanmantrā saṃbhavanti % teṣu teṣu tu karmasu // Ang_1.8 //,Sanskrit,GRETIL
prāyaścittaṃ dṛśyate naṃ $ yatra kutrāpi tatra vai &,Sanskrit,GRETIL
tasyaitatkathitaṃ divyaṃ % prāyaścittaṃ mahattaram // Ang_1.9 //,Sanskrit,GRETIL
puṇyā vyāhṛtayaśceti $ sā ṛgvā vaiṣṇavī śivā &,Sanskrit,GRETIL
sarvapāpapraśamanī % cintitārthaikadāyinī // Ang_1.10 //,Sanskrit,GRETIL
prāyaścittakriyāhetor $ nirṇītā viṣṇunā purā &,Sanskrit,GRETIL
na vyāhṛtisamo mantro % na vyāhṛtisamo japaḥ // Ang_1.11 //,Sanskrit,GRETIL
na vyāhṛtisamastīrtho $ na vyāhatisamaṃ tapaḥ &,Sanskrit,GRETIL
na vyāhatisamo yajño % na vyāhṛtisamāḥ kriyāḥ // Ang_1.12 //,Sanskrit,GRETIL
tasmātsarvatra tā dṛṣṭāḥ $ prāyaścittāya kevalam &,Sanskrit,GRETIL
tasmādvaidikakṛtyānāṃ % laukikānāmaśeṣataḥ // Ang_1.13 //,Sanskrit,GRETIL
pramādākaraṇe kṛtsne $ tattyāge buddhipūrvake &,Sanskrit,GRETIL
ajñānināṃ jñānināṃ ca % pāvakāstārakāḥ parāḥ // Ang_1.14 //,Sanskrit,GRETIL
uttārakā vyāhṛtayo $ ṛcā yuktāstayā punaḥ &,Sanskrit,GRETIL
jātakarmādyatikrame,Sanskrit,GRETIL
karmaṇo 'karaṇe jāta- % nāmnorvyāhatayaḥ smṛtāḥ // Ang_1.15 //,Sanskrit,GRETIL
dinaikasādhyāḥ kathitās $ tathā nāmākhyakarmaṇaḥ &,Sanskrit,GRETIL
tathānnaprāśanasyāpi % caulasyākaraṇe tataḥ // Ang_1.16 //,Sanskrit,GRETIL
divasadvayasādhyā yāḥ $ parā vyāhṛtayaḥ smṛtāḥ &,Sanskrit,GRETIL
paścānmauñjī prakartavyā % mauñjyāstvakaraṇe tathā // Ang_1.17 //,Sanskrit,GRETIL
mukhyakāle ṣoḍaśābda- $ paryantaṃ daśamāditaḥ &,Sanskrit,GRETIL
dinatrayacatuṣpañca- % ṣaṭsaptāṣṭanavādikāḥ // Ang_1.18 //,Sanskrit,GRETIL
rātrayaḥ kathitāstasya $ tajjapastasya niṣkṛtiḥ &,Sanskrit,GRETIL
kimanyeṣāṃ karmaṇāṃ tu % yasya nāsti hi niṣkṛtiḥ // Ang_1.19 //,Sanskrit,GRETIL
tasyaitāḥ kathitāḥ sadbhiḥ $ satataṃ vedavādibhiḥ &,Sanskrit,GRETIL
japtvaitā vyāhṛtīrdivyāḥ % prāyaścittāya kevalam // Ang_1.20 //,Sanskrit,GRETIL
(paripūtāḥ) tataḥ sadyas $ tattatkarma samārabhet &,Sanskrit,GRETIL
pākārambhasamārambhaḥ % śrāddhamātrasya saṃtatam // Ang_1.21 //,Sanskrit,GRETIL
prabhaveddhi viśeṣeṇa $ saṃkalpastu na tasya vai &,Sanskrit,GRETIL
śrāddhapākānantaramāśaucaṃ yadi,Sanskrit,GRETIL
yadi daivādyatnamadhye % bhavetsūtakamṛtvijām // Ang_1.22 //,Sanskrit,GRETIL
tatkriyākaraṇe tattu $ na teṣāṃ vārakaṃ bhavet &,Sanskrit,GRETIL
tatkriyārthaṃ prathamataḥ % snātvā samyak samantrakam // Ang_1.23 //,Sanskrit,GRETIL
tatkriyāmatha kurvīta $ tāvatteṣāṃ na sūtakam &,Sanskrit,GRETIL
karmakāle tadāśaucaṃ % sadyo vilayameti vai // Ang_1.24 //,Sanskrit,GRETIL
vṛtte karmaṇi bhūyaśca $ tadudeti svayaṃ punaḥ &,Sanskrit,GRETIL
pākārambhānantaraṃ tadvīthyāṃ mṛtisaṃbhave,Sanskrit,GRETIL
śrāddhe pākasamārambhe % vṛtte 'tha nipatecchavam // Ang_1.25 //,Sanskrit,GRETIL
tadvīthyāṃ tena tacchrāddhaṃ $ dūṣitaṃ na bhavedapi &,Sanskrit,GRETIL
pākārambhātpūrvaṃ tadvīthyāṃ mṛtisaṃbhave,Sanskrit,GRETIL
pākārambhasya pūrvaṃ tat % prabhavecchrāddhavārakam // Ang_1.26 //,Sanskrit,GRETIL
śavaṃ vīthyāṃ nipatitaṃ $ pākārambhātparaṃ tu na &,Sanskrit,GRETIL
upakrāntasya tasyāsya % sūtakaṃ yadi madhyataḥ // Ang_1.27 //,Sanskrit,GRETIL
apyāgataṃ tena taddhi $ vāritaṃ na bhaviṣyati &,Sanskrit,GRETIL
tasmācchrāddhamupakrāntaṃ % sūtake 'pi tathā '; 'caret // Ang_1.28 //,Sanskrit,GRETIL
ātarpaṇaṃ vidhānena $ pākasyārambhato 'khilam &,Sanskrit,GRETIL
darśapūrṇamāseṣṭipaśubandhānantaraṃ śrāddham,Sanskrit,GRETIL
sarveṣāṃ vratakṛchrāṇāṃ % vārakaṃ śrāddhamekakam // Ang_1.29 //,Sanskrit,GRETIL
tasyāpi vārako yāgaḥ $ paurṇamāsaśca dārśikaḥ &,Sanskrit,GRETIL
paurṇamāsaṃ ca darśaṃ ca % paśubandhaṃ ca taddine // Ang_1.30 //,Sanskrit,GRETIL
samāgataṃ samāpyā '; 'dau $ paścācchrāddhaṃ samācaret &,Sanskrit,GRETIL
pitṛkriyādinaprāpta- % yāgānuṣṭhānato 'khilāḥ // Ang_1.31 //,Sanskrit,GRETIL
vasavaścāpi rudrāścāpy $ ādityāścaiva kṛtsnaśaḥ &,Sanskrit,GRETIL
tadrūpāḥ pitaraḥ sarve % sarve cāpi pitāmahāḥ // Ang_1.32 //,Sanskrit,GRETIL
nityatṛptā bhaveyurvai $ nikhilāḥ prapitāmahāḥ &,Sanskrit,GRETIL
dīkṣāprāptyā tu bhūyiṣṭhā % tṛptisteṣāṃ bhaviṣyati // Ang_1.33 //,Sanskrit,GRETIL
mahādīkṣāmadhyagataśrāddham,Sanskrit,GRETIL
pratyabdamāsastanmāsa- $ dīkṣā yā na bhaviṣyati &,Sanskrit,GRETIL
pratyabdamapi pitrostan % na pitṛvyādikaṃ matam // Ang_1.34 //,Sanskrit,GRETIL
mahādīkṣāmadhyagataṃ $ gatameva bhaviṣyati &,Sanskrit,GRETIL
mahādīkṣāgatasyāsya % tadante karaṇaṃ nanu // Ang_1.35 //,Sanskrit,GRETIL
dīkṣāmahatyastā jñeyāś $ caturviṃśaddinādhikāḥ &,Sanskrit,GRETIL
kharvadīkṣāmadhye,Sanskrit,GRETIL
tisrastābhyastu yā nyūnās % triṣaḍādidinātmakāḥ // Ang_1.36 //,Sanskrit,GRETIL
kharvātmakāstā vijñeyās $ tanmadhyagatapaitṛkam &,Sanskrit,GRETIL
yadvā tadante tatkāryam % anyatkabalitaṃ tayā // Ang_1.37 //,Sanskrit,GRETIL
dīkṣāvṛddhau,Sanskrit,GRETIL
mahatyā dīkṣayā karma $ satreṣvevaṃ gataṃ gatam &,Sanskrit,GRETIL
na kāryamiti vācyaṃ kiṃ % dīkṣāvṛddhau kathaṃcana // Ang_1.38 //,Sanskrit,GRETIL
saṃprāptamapi tacchrāddham $ avaśāddaivayogataḥ &,Sanskrit,GRETIL
tadanta eva kurvīta % tasyā api punaḥ kadā // Ang_1.39 //,Sanskrit,GRETIL
daivayogena cidvṛddher $ mahattvaṃ cetsamāgatam &,Sanskrit,GRETIL
kāraṇāntarasaṃgatyā % tadante cetkṛtākṛtam // Ang_1.40 //,Sanskrit,GRETIL
dīkṣāmadhyamṛte na saṃskāraḥ kartavyaḥ,Sanskrit,GRETIL
tacchrāddhaṃ bhavatītyāhur $ dīkṣāmadhyamṛtānapi &,Sanskrit,GRETIL
na saṃskuryānnāpi paśyet % saṃskuryāttadvyatikrame // Ang_1.41 //,Sanskrit,GRETIL
karmaṇo vaidikasyaivaṃ $ prābalyaṃ pratipāditam &,Sanskrit,GRETIL
brahmavidbhirmahābhāgair % dharmajñaistattvadarśibhiḥ // Ang_1.42 //,Sanskrit,GRETIL
dānatīrthavratādibhyaḥ $ kṛchrebhyo 'pi viśiṣyate &,Sanskrit,GRETIL
vaidikaṃ tu mahatkarma % vaidikaṃ prabhavettataḥ // Ang_1.43 //,Sanskrit,GRETIL
śuddhaḥ sanneva kurvīta $ vaidikaṃ karma nāśuciḥ &,Sanskrit,GRETIL
āśaucādaśucitvaṃ hi % brāhmaṇānāṃ bhaviṣyati // Ang_1.44 //,Sanskrit,GRETIL
sūtyāśaucasyāspṛśyatvam,Sanskrit,GRETIL
sūtyāśauce mṛtāśauce $ vaidikaṃ karma nācaret &,Sanskrit,GRETIL
aspṛśyatvaṃ na sūtyāṃ syād % āśauce tu bhaveddhi tat // Ang_1.45 //,Sanskrit,GRETIL
ubhayorbhojanaṃ kuryān $ mahāgurunipātane &,Sanskrit,GRETIL
ahorātraṃ bhuktihainyaṃ % sarveṣāmapi tanmatam // Ang_1.46 //,Sanskrit,GRETIL
akālabhuktirāśauce $ sūtyāśauce na tanmatam &,Sanskrit,GRETIL
saṃdhyāmātraṃ prakurvīta % tayormānasamantrataḥ // Ang_1.47 //,Sanskrit,GRETIL
ekadvitricaturnārī- $ naṣṭāśaucasya cetpunaḥ &,Sanskrit,GRETIL
āśauce vartamānasya % saṃghātāśaucinastataḥ // Ang_1.48 //,Sanskrit,GRETIL
sākṣādannasya muktirna $ saṃdhyā sā syājjale kriyā &,Sanskrit,GRETIL
satatāśaucasaṃbhave,Sanskrit,GRETIL
śatajñātigatagrāma- % vāsinaḥ saṃtatāghinaḥ // Ang_1.49 //,Sanskrit,GRETIL
sūtakānte punaḥprāpta- $ sūtakasya nirantaram &,Sanskrit,GRETIL
abdaṃ dṛṣṭvā tato yatnāt % tyaktvā taṃ grāmamādarāt // Ang_1.50 //,Sanskrit,GRETIL
sadyo deśāntare pitroḥ $ śrāddhaṃ kāryamiti sthitiḥ &,Sanskrit,GRETIL
yadā paraṃparāgho 'sya % jāyate śrāddhavārakaḥ // Ang_1.51 //,Sanskrit,GRETIL
tadā saṃvatsaraṃ dṛṣṭvā $ sadyo deśāntaraṃ vrajet &,Sanskrit,GRETIL
yadi vighno na jāyeta % śrāddhasyātha tathā tadā // Ang_1.52 //,Sanskrit,GRETIL
śrāddhaṃ tatraiva kurvīta $ dhṛtayajñopavītavān &,Sanskrit,GRETIL
ekadaiva samākrāntaḥ % sūtakatrayato yadi // Ang_1.53 //,Sanskrit,GRETIL
ekāśaucena vā paścād $ yajñasūtraṃ tu bibhṛyāt &,Sanskrit,GRETIL
yajñasūtravihīnaḥ syād % anarhaḥ sarvakarmasu // Ang_1.54 //,Sanskrit,GRETIL
abhāve tasya sūtrasya $ celaṃ vājinameva vā &,Sanskrit,GRETIL
dhārayati vidhānena % na mantrastatra vidyate // Ang_1.55 //,Sanskrit,GRETIL
sūtrasyaiva bhavenmantraḥ $ śikhāhīnaśca tādṛśaḥ &,Sanskrit,GRETIL
śatrucchinnaśikhaścet,Sanskrit,GRETIL
śatrucchinnaśikhaḥ sadyo % bibhran karṇe śuciryatan // Ang_1.56 //,Sanskrit,GRETIL
samagopucchalomāni $ prājāpatyaprapūrvakam &,Sanskrit,GRETIL
punaḥsaṃskārataḥ śuddhaḥ % prabhavennātra saṃśayaḥ // Ang_1.57 //,Sanskrit,GRETIL
madhyacchede,Sanskrit,GRETIL
madhyacchinnā yadā cūḍā $ prājāpatyena śudhyati &,Sanskrit,GRETIL
rogādinā nāśe,Sanskrit,GRETIL
śikhāyā rogato nāśe % kṛtsnāyāḥ saṃkaṭe 'pi vā // Ang_1.58 //,Sanskrit,GRETIL
avaśādvahnito vāpi $ punaḥsaṃskāra eva hi &,Sanskrit,GRETIL
śikhārohaṇataḥ paścān % na tatpūrvaṃ samācaret // Ang_1.59 //,Sanskrit,GRETIL
tāvadgopucchalomāni $ dhāryāṇyeva vidhānataḥ &,Sanskrit,GRETIL
yathāvat sā tu na bhaved % vārdhakeṇa ca rogataḥ // Ang_1.60 //,Sanskrit,GRETIL
saptatyūrdhvaṃ romabhiḥ,Sanskrit,GRETIL
saptatyūrdhvaṃ tu cettasyāḥ $ pūrvataḥ pṛṣṭhato 'pi vā &,Sanskrit,GRETIL
pārśvataḥ parito vāpi % samudbhūtaiśca romabhiḥ // Ang_1.61 //,Sanskrit,GRETIL
śikhā kāryā prayatnena $ na cennaivopapadyate &,Sanskrit,GRETIL
tatsthāne sarvaśūnye tu % parito vāpi kiṃ punaḥ // Ang_1.62 //,Sanskrit,GRETIL
brāhmaṇyasūcanāyaivaṃ $ tāni lomāni dhārayet &,Sanskrit,GRETIL
anyathā na bhavedeva % tathā tasmātsamācaret // Ang_1.63 //,Sanskrit,GRETIL
evaṃ varṣāṣṭake 'tīte $ tārtīyīkāśramaṃ vrajet &,Sanskrit,GRETIL
śikhā sūtra ca tadyugmaṃ % brāhmaṇatvasya mūlake // Ang_1.64 //,Sanskrit,GRETIL
yayā kayā ca vidhayā $ śikhāṃ sūtraṃ ca bibhṛyāt &,Sanskrit,GRETIL
śikhācchedo pañcavāraṃ % yadi jāyeta śatrubhiḥ // Ang_1.65 //,Sanskrit,GRETIL
brāhmaṇyaṃ tasya naṣṭaṃ syāt $ punaḥsaṃskārato 'pi tat &,Sanskrit,GRETIL
śrāddhavighne strīsaṃge,Sanskrit,GRETIL
śrāddhavighne samutpanne % santataṃ sūtakādinā // Ang_1.66 //,Sanskrit,GRETIL
akṛtvaiva tadā śrāddhaṃ $ nopeyācca striyaṃ tarām &,Sanskrit,GRETIL
tadā yadyāhito garbho % brahmahatyāvrataṃ caret // Ang_1.67 //,Sanskrit,GRETIL
tadā sakṛtsannipāte $ prājāpatyatrayaṃ caret &,Sanskrit,GRETIL
asakṛdgamanāccāpā- % grayānaṃ ca samācaret // Ang_1.68 //,Sanskrit,GRETIL
tasyopanayanaṃ bhūyaś $ coditaṃ brahmavādibhiḥ &,Sanskrit,GRETIL
praviṣṭaparakāyo yaḥ % svabhāryā tena varṣmaṇā // Ang_1.69 //,Sanskrit,GRETIL
nopeyāttatpraviṣṭaḥ san $ nopeyāttasya tāmapi &,Sanskrit,GRETIL
tādṛśaṃ karma kuryāccet % tatkulaṃ svakulaṃ ca te // Ang_1.70 //,Sanskrit,GRETIL
ātmānaṃ pātayeddhore $ narake rauravābhidhe &,Sanskrit,GRETIL
naṣṭe triprāyake śrāddhe % pūrvasmin haviṣi kvacit // Ang_1.71 //,Sanskrit,GRETIL
tadā punastatsaṃpādya $ hutvā prāṇādibhiścarum &,Sanskrit,GRETIL
dvātriśadāhuteḥ paścāt % taccheṣeṇa samāpanam // Ang_1.72 //,Sanskrit,GRETIL
yattattriprāyakaṃ śrāddhaṃ $ tasyāgūśca samāpanam &,Sanskrit,GRETIL
aparāhne ca madhyāhne % sadyaḥ pakvaṃ bhaveddhi vai // Ang_1.73 //,Sanskrit,GRETIL
pṛthak pākāttasyaṃ bhuktir $ dvitīye tatra naiva sā &,Sanskrit,GRETIL
viprāṇāṃ bhuktimātraṃ syād % ābhāntyetatsamācaret // Ang_1.74 //,Sanskrit,GRETIL
saṃbhāntyatha mṛtāhasya $ samārambho vidhīyate &,Sanskrit,GRETIL
sarvaśeṣaṃ samādāya % piṇḍāstrīnava nirvapet // Ang_1.75 //,Sanskrit,GRETIL
avaśiṣṭaṃ prāśayecca $ triprāyakavidhau tathā &,Sanskrit,GRETIL
yatnānmahābhītimati % paścātsyādbhūribhojanam // Ang_1.76 //,Sanskrit,GRETIL
lājahomātpūrvaṃ yadi rajasvalā,Sanskrit,GRETIL
arvāktu lājahomasya $ vadhūryadi rajasvalā &,Sanskrit,GRETIL
haviṣmatīti mantreṇa % śatakumbhairvidhānataḥ // Ang_1.77 //,Sanskrit,GRETIL
snāpayitvā vidhānena $ vastrābhyāṃ saṃparītyataḥ &,Sanskrit,GRETIL
natvā dvivāraṃ yatnena % yuñjānāhutiyugmakam // Ang_1.78 //,Sanskrit,GRETIL
pṛthagagnau sthāpite 'tha $ juhuyātsaṃskṛtaṃ ghṛtam &,Sanskrit,GRETIL
paścāttantraṃ prayoktavyam % ābrāhmaṇavisarjanam // Ang_1.79 //,Sanskrit,GRETIL
yoktraṃ vimucya tāṃ patnīṃ $ dūratastu vinikṣipet &,Sanskrit,GRETIL
paścāccaturthadivase % snātāyāṃ samanantaram // Ang_1.80 //,Sanskrit,GRETIL
pravāhanādikarmāṇi $ vidhinaiva samācaret &,Sanskrit,GRETIL
ubhayostu tadā nityaṃ % vidhinā syātpayovratam // Ang_1.81 //,Sanskrit,GRETIL
tadaupāsanahomaḥ syāt $ samārambhāttu tanmatam &,Sanskrit,GRETIL
lājahomātparaṃ cet,Sanskrit,GRETIL
lājahomātparaṃ sā cet % tadā tatsnānataḥ param // Ang_1.82 //,Sanskrit,GRETIL
arvāktu śeṣahomasya $ tūṣṇīkaṃ mantravarjitam &,Sanskrit,GRETIL
vastradvayaṃ pradāyāsyai % tābhyāmācchādya tatparam // Ang_1.83 //,Sanskrit,GRETIL
apāvṛtte tṛtīye ca $ divase 'tha caturthake &,Sanskrit,GRETIL
ahni dvitīyayāme vai % śatakumbhairamantritaiḥ // Ang_1.84 //,Sanskrit,GRETIL
abhiṣekaṃ kārayitvā $ śeṣaṃ karma samācaret &,Sanskrit,GRETIL
aupāsane tvanārabdhe dvitīye 'hni cet,Sanskrit,GRETIL
aupāsane tvanārabdhe % dvitīyadivase yadi // Ang_1.85 //,Sanskrit,GRETIL
rajasvalā tadā tasyai $ haviṣmanmantrasecanāt &,Sanskrit,GRETIL
paraṃ vastradvayaṃ datvā % tūṣṇīkaṃ mantravarjanāt // Ang_1.86 //,Sanskrit,GRETIL
tābhyāmācchādya tatpaścāt $ sahasrairudakumbhakaiḥ &,Sanskrit,GRETIL
caturthadivase kuryād % abhiṣekaṃ samantrakaiḥ // Ang_1.87 //,Sanskrit,GRETIL
pañcagavyastilaiḥ śvetaiḥ $ sarṣapaiḥ sarvadhānyakaiḥ &,Sanskrit,GRETIL
vyāhṛtyā caiva gāyatryā % hunedaṣṭottaraṃ śatam // Ang_1.88 //,Sanskrit,GRETIL
aṣṭottarasahasraṃ cet $ sarvadoṣaharaṃ param &,Sanskrit,GRETIL
āyuṣyasūktaṃ hutvātha % caruṇā lājato 'pi vā // Ang_1.89 //,Sanskrit,GRETIL
homaśeṣaṃ samāpyātha $ karmaśeṣaṃ samāpayet &,Sanskrit,GRETIL
paścācchuddhimavāpnoti % karmaṇastasya kevalam // Ang_1.90 //,Sanskrit,GRETIL
tatpañcame 'tha divase $ tvaupāsanaparigrahaḥ &,Sanskrit,GRETIL
tayāthaṃ saṃgamo māsād % garbhādhānavidhānataḥ // Ang_1.91 //,Sanskrit,GRETIL
tadgṛhakṣetramanasāṃ $ parasparavirodhataḥ &,Sanskrit,GRETIL
niruddhapretakṛtyānāṃ % sūtakaṃ tatsamāpanāt // Ang_1.92 //,Sanskrit,GRETIL
niruddhapretakṛtyā ye $ taddravyaharaṇecchayā &,Sanskrit,GRETIL
tatsamāpanaparyantaṃ % teṣāṃ tatsūtakaṃ bhavet // Ang_1.93 //,Sanskrit,GRETIL
āśauce nityanaimittikādi,Sanskrit,GRETIL
tatsamāpanaparyantaṃ $ na kuryuḥ śubhakarma ca &,Sanskrit,GRETIL
nityaṃ naimittikaṃ kāmyaṃ % brahmayajñādikaṃ tathā // Ang_1.94 //,Sanskrit,GRETIL
na svādhyāyaṃ na vā homaṃ $ na sabhāyāḥ praveśanam &,Sanskrit,GRETIL
pretakṛtyarodhe,Sanskrit,GRETIL
kurvīta manasā saṃdhyāṃ % na svādūni ca bhakṣayet // Ang_1.95 //,Sanskrit,GRETIL
tāni kuryāttu mohena $ sa preto na sahiṣyati &,Sanskrit,GRETIL
śāpaṃ ghoraṃ dadātyeva % tasmāttatkṛtyarodhanam // Ang_1.96 //,Sanskrit,GRETIL
manasāpi na kurvīta $ taccāṇḍālaṃ prakīrtitam &,Sanskrit,GRETIL
kṛtyaṃ ghoraṃ hi duṣṭaṃ tat % tādṛśaṃ na tadācaret // Ang_1.97 //,Sanskrit,GRETIL
atyanyāyādi kalau na kārayet,Sanskrit,GRETIL
atyanyāyamatidroham $ atikrauryaṃ kalāvapi &,Sanskrit,GRETIL
atyakramaṃ cātyaśāstraṃ % na kuryānna ca kārayet // Ang_1.98 //,Sanskrit,GRETIL
yadi kurvīta mohena $ sadyo vilayameṣyati &,Sanskrit,GRETIL
kartā kārayitā cāpi % prerakaśca nirodhakaḥ // Ang_1.99 //,Sanskrit,GRETIL
tatsahāyaśca sarve te $ layameṣyanti satvaram &,Sanskrit,GRETIL
gṛhakṣetrādikaṃ sarvaṃ % na nityaṃ śubhakāriṇaḥ // Ang_1.100 //,Sanskrit,GRETIL
tannimittamidaṃ rūpaṃ $ pāpaṃ martyo na cā '; 'caret &,Sanskrit,GRETIL
āgāmisūtakaṃ jñātvā % samupakrāntakarmaṇaḥ // Ang_1.101 //,Sanskrit,GRETIL
aṅgāpakarṣaṇaṃ naiva $ kuryāditi manormatam &,Sanskrit,GRETIL
samāgate sūtake 'pi % samupakrāntakarmaṇaḥ // Ang_1.102 //,Sanskrit,GRETIL
aṅgāni tattatkāleṣu $ kuryāttatra na sūtakī &,Sanskrit,GRETIL
bhavedeva tadā sadyo % gate tasmin punastathā // Ang_1.103 //,Sanskrit,GRETIL
jītpitṛkapiṇḍapitṛyajñādiśrāddham,Sanskrit,GRETIL
api jīvatpitā piṇḍa- $ pitṛyajñaṃ samācaret &,Sanskrit,GRETIL
māsi śrāddhaṃ tathā homād % aṣṭakāṃ pitṛyajñataḥ // Ang_1.104 //,Sanskrit,GRETIL
piturviyogātparataḥ $ piṇḍadānaṃ samācaret &,Sanskrit,GRETIL
tenāyaṃ śrāddhakartā syānna % mātuḥ piṇḍadānataḥ // Ang_1.105 //,Sanskrit,GRETIL
jīve pitari cecchrāddhe $ prāpte naimittike yadi &,Sanskrit,GRETIL
yebhya eva pitā dadyāt % tebhyo dadyāttu tatsutaḥ // Ang_1.106 //,Sanskrit,GRETIL
evaṃ pitāmahe jīve $ yebhyo dadyāt sa hi svayam &,Sanskrit,GRETIL
tebhyo dadyāttu tatpautras % tathā syātpripitāmahe // Ang_1.107 //,Sanskrit,GRETIL
pitari saṃnyaste pātityādidūṣite tatpitrādiśrāddham,Sanskrit,GRETIL
saṃnyaste patite tāte $ bhrāntacitte calātmani &,Sanskrit,GRETIL
tatkartṛkāṇi śrāddhāni % svayaṃ putraḥ samācaret // Ang_1.108 //,Sanskrit,GRETIL
tattatkāleṣu vidhivac $ chrāddhakartā na tena saḥ &,Sanskrit,GRETIL
teṣāmakaraṇātso 'yaṃ % sadyaścaṇḍālatāṃ vrajet // Ang_1.109 //,Sanskrit,GRETIL
śrāddhādhikārī piṇḍasya $ dānamātreṇa jāyate &,Sanskrit,GRETIL
ṛtviktvena vṛte tasmin % na tu kartā bhavedayam // Ang_1.110 //,Sanskrit,GRETIL
pituḥ piṇḍapradānena $ śrāddhakartā bhavedayam &,Sanskrit,GRETIL
śrāddhādhikārasidhyarthaṃ % kuryādekādaśe 'hani // Ang_1.111 //,Sanskrit,GRETIL
pārvaṇaṃ tadvidhānena $ pituḥ siddheranantaram &,Sanskrit,GRETIL
karmandī brahmabhūtasya % tadā tasminniyojayet // Ang_1.112 //,Sanskrit,GRETIL
pratisaṃvatsaraṃ siddhi- $ dine śrāddhaṃ samācaret &,Sanskrit,GRETIL
paścādārādhanaṃ kuryāt % tasminno cetpare 'hani // Ang_1.113 //,Sanskrit,GRETIL
brahmabhūtasya tasyāsya $ sarvadevādirūpiṇaḥ &,Sanskrit,GRETIL
saṃgacchate pitṛtvaṃ ca % tena rūpeṇa taṃ tathā // Ang_1.114 //,Sanskrit,GRETIL
tasmin śrāddhadine bhaktyā $ yajedeva vidhānataḥ &,Sanskrit,GRETIL
tādṛk tadyajanaṃ cāsya % śrāddhanāmakakarmaṇaḥ // Ang_1.115 //,Sanskrit,GRETIL
adhikāritvasidhyarthaṃ $ tasmāttenaiva taṃ yajet &,Sanskrit,GRETIL
na mātaraṃ pitṛtvena % yajeta tu kathaṃcana // Ang_1.116 //,Sanskrit,GRETIL
pitṛtvaṃ mātari gatam $ ekaśeṣajamalpakam &,Sanskrit,GRETIL
yathā na tatkāryakaraṃ % mātṛtvamapi tattathā // Ang_1.117 //,Sanskrit,GRETIL
pitṛvyapatnyādīnām,Sanskrit,GRETIL
pitṛvyapatnyādīnāṃ syāt $ tādṛkpatnītvameva hi &,Sanskrit,GRETIL
tāsāṃ bhavati tasmāttu % na tanmātṛtvamucyate // Ang_1.118 //,Sanskrit,GRETIL
pitṛtvamapi mātṛtvaṃ $ dānato nāśameṣyataḥ &,Sanskrit,GRETIL
tatkarmaṇi punaḥ prāpte % jananītvādinā bhavet // Ang_1.119 //,Sanskrit,GRETIL
pitṛtvamapi mātṛtvam $ ekatraiva hi tiṣṭhati &,Sanskrit,GRETIL
na tiṣṭhati tadanyatra % kriyāśatasahasrakāt // Ang_1.120 //,Sanskrit,GRETIL
gauṇamātari,Sanskrit,GRETIL
gauṇamātari mātṛtvaṃ $ puraskṛtyārthalobhataḥ &,Sanskrit,GRETIL
samuccārya kriyāṃ kuryān % na sā tadgā bhaveddhruvam // Ang_1.121 //,Sanskrit,GRETIL
